num. of qubits; precision;variance
2;1.0;6692551563.845765
3;1.0;10837371019.895351
4;1.0;13781920707.611803
5;1.0;16437912103.837437
6;1.0;19420777924.906227
7;1.0;24745414838.71692
8;1.0;26598447361.325603
9;1.0;30729035998.798298
10;1.0;33655877750.868004
11;0.998;37358584547.1976
12;1.0;40556407810.420654
13;0.998;40901105840.14404
14;0.999;47962331890.02066
15;0.996;52078122998.75105
16;0.998;52245650561.84989
17;0.995;53324505300.197014
18;0.995;56795117786.43206
19;0.995;60838264453.69105
20;0.995;69608813191.78375
21;0.997;69352989283.3515
22;0.99;75167338671.55354
23;0.993;77630275888.85661
24;0.996;81691522649.37085
25;0.992;81573342100.82883
26;0.994;90370543073.6301
